Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Explicit Track
Ignorantes,Ignorantes,Bad Bunny,2/14/2020,QM4TW2090210,"2,618",27,671572185,0,0,62.0,0,0,0,0,0,0,1
Break Free,Pop Party 13,Ariana Grande,1/1/2014,USUM71409719,"2,610",27,899830382,0,0,70.0,0,0,0,0,0,0,0
Risk,Risk,Gracie Abrams,5/1/2024,USUG12401764,"2,617",27,41114784,0,0,78.0,0,0,0,0,0,0,0
"Nathy Peluso: Bzrp Music Sessions, Vol. 36","Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,11/27/2020,UYB282001011,"2,615",27,286381494,0,0,61.0,0,0,0,0,0,0,0
WY@,WY@,Brent Faiyaz,9/19/2023,QZNMX2317490,"2,609",27,54763093,0,0,,0,0,0,0,0,0,1
Acapulco,Acapulco,Jason Derulo,9/3/2021,USAT22102812,"2,608",27,442260324,0,0,65.0,0,0,0,0,0,0,0
GHOST TOWN,GHOST TOWN,Benson Boone,10/15/2021,USWB12103472,"2,612",27,382177076,0,0,66.0,0,0,0,0,0,0,0
Bande organisï¿½,Bande organisï¿½,13 Organisï¿,8/15/2020,FRX282066018,"2,625",27,267241905,0,0,63.0,0,0,0,0,0,0,1
Only Human,Happiness Begins,Jonas Brothers,6/7/2019,USUG11901281,"2,634",27,508463163,0,0,65.0,0,0,0,0,0,0,0
Daddy Issues,Wiped Out!,The Neighbourhood,10/30/2015,USSM11506747,"2,627",27,1435372572,0,0,80.0,0,0,0,0,0,0,0
Cha Cha Cha,Cha Cha Cha,Kï¿½Ï¿½Ï¿½,1/17/2023,FIWMA2200519,"2,624",27,143311775,0,0,66.0,0,0,0,0,0,0,0
Raining In Manila,Raining In Manila,Lola Amour,6/14/2023,PHW012300171,"2,633",27,136169854,0,0,63.0,0,0,0,0,0,0,0
Diabï¿½ï¿½,Diabï¿½ï¿½,Cris Mj,11/8/2023,QMFME2394856,"2,628",27,83966111,0,0,73.0,0,0,0,0,0,0,1
HE KNOWS (feat. Lil Nas X),HE KNOWS (feat. Lil Nas X),Camila Cabello,5/10/2024,USUG12402116,"2,632",27,14234598,0,0,,0,0,0,0,0,0,1
